music_id,song_title,genre,dif_simple,dif_normal,dif_hard,dif_extra
1,Play merrily,オリジナル,2,4,5,8
2, ,,,,,
3,Not get wish,オリジナル,2,5,10,
4, ,,,,,
5, ,,,,,
6,Breach of faith,オリジナル,3,5,8,
7,Invade You,ゲーム,3,5,7,
8, ,,,,,
9, ,,,,,
10,I CANNOT APE,ゲーム,2,4,7,
11,Fun-House,オリジナル,2,5,7,
12,檄 (GEKI),ゲーム,4,6,10,
13,Cardiac Rhythm,オリジナル,4,6,10,
14,Spring to mind,オリジナル,3,5,10,
15, ,,,,,
16,Good-bye my earth,ゲーム,4,6,7,
17,Space Invaders Infinity Gene Medley,ゲーム,3,5,9,
18,Hello 31337,ゲーム,4,5,7,
19,Protocol Signal Generation,オリジナル,3,4,7,
20,Just no friend,オリジナル,2,6,9,
21,Thrash Beat,オリジナル,3,5,10,
22,Fess up!,オリジナル,3,4,6,
23,VISIONNERZ～幻視人～,ゲーム,4,5,8,11
24,Jingle Bells -Trance Mix-,バラエティ,2,4,6,
25,カンナンシンク,ゲーム,2,4,8,
26,Shadow,ゲーム,4,7,11,
27,Planet connection,ゲーム,2,4,6,
28,Invader Disco,ゲーム,2,3,6,10
29, ,,,,,
30, ,,,,,
31, ,,,,,
32,ピ・ピ・ピ・ミュージック,アニメ・ポップス,3,4,7,
33,ミュージック・リボルバー,音楽ゲーム,5,6,10,14
34, ,,,,,
35,Shooting Star,音楽ゲーム,3,5,7,
36,Crowded space,音楽ゲーム,4,6,10,
37,Extreme MGG★★★,音楽ゲーム,4,6,11,
38,DADDY MULK -Groove remix-,ゲーム,4,6,10,
39,Quartet Theme [Reborn],ゲーム,4,5,8,
40, ,,,,,
41,PIXEL STAR,オリジナル,3,5,9,12
42,Freestyle Beats,オリジナル,4,5,8,
43,グルーヴ・リボルバー,オリジナル,5,8,12,13
44,Wacky dance ethnic,オリジナル,5,7,12,
45,KIKIKAIKAI,ゲーム,2,4,8,11
46,OVER THE NIGHT,オリジナル,3,6,8,
47,Analysis Division,オリジナル,2,5,9,
48,Got more raves?,オリジナル,6,11,13,
49,Got a pain cover?,オリジナル,6,12,13,
